,0
0,0
1,0
2,0
3,0
4,59
5,592
6,2192
7,2032
8,1439
9,1452
10,1259
11,1331
12,1361
13,1164
14,1454
15,2468
16,3262
17,3547
18,3665
19,3658
20,3058
21,3058
22,3493
23,3659
24,3710
25,3664
26,3682
27,3716
28,3733
29,3739
30,3731
31,3737
32,3551
33,3308
34,3599
35,3298
36,3103
37,2894
38,1872
39,2949
40,3147
41,2586
42,3310
43,2238
44,1054
45,2693
46,3344
47,3454
48,2721
49,3247
50,2163
51,1256
52,832
53,896
54,2157
55,3154
56,3515
57,3658
58,3703
59,3568
60,1477
61,796
62,560
63,906
64,2779
65,3366
66,3014
67,3229
68,3543
69,3669
70,2992
71,1279
72,730
73,529
74,538
75,2489
76,3236
77,1979
78,1053
79,1298
80,2874
81,3406
82,3614
83,3694
84,3717
85,3731
86,3667
87,2602
88,2833
89,1392
90,767
91,546
92,416
93,320
94,1879
95,3056
96,3472
97,3635
98,3696
99,3294
100,2578
101,1734
102,1291
103,1280
104,1767
105,2021
106,2233
107,3058
108,3455
109,3632
110,3697
111,3703
112,2395
113,1732
114,2854
115,3408
116,3621
117,3697
118,3726
119,3731
120,3740
121,3742
122,3745
123,3743
124,3744
125,3745
126,3744
127,3492
128,2724
129,3168
130,2323
131,1451
132,915
133,605
134,459
135,343
136,238
137,134
138,47
139,0
140,0
141,165
142,91
143,10
144,0
145,0
146,0
147,0
148,0
149,741
150,2165
151,996
152,621
153,455
154,364
155,368
156,247
157,194
158,1020
159,1703
160,1079
161,643
162,511
163,1461
164,2541
165,3241
166,3374
167,3605
168,3685
169,3721
170,3706
171,3728
172,3737
173,3746
174,3740
175,3744
176,3744
177,3746
178,3743
179,3743
180,3745
181,3745
182,3744
183,3745
184,3746
185,3746
186,3745
187,3744
188,3744
189,3747
190,3714
191,3731
192,3745
193,3745
194,3745
195,3743
196,3749
197,3748
198,3745
199,3747
200,3747
201,3748
202,3749
203,3697
204,3267
205,3357
206,3067
207,2558
208,2161
209,2176
210,1725
211,2813
212,1765
213,880
214,597
215,1595
216,2309
217,1915
218,1104
219,1376
220,2224
221,3098
222,3151
223,2431
224,2012
225,2291
226,2950
227,3126
228,2844
229,2495
230,2477
231,2828
232,2608
233,1155
234,1029
235,1655
236,1857
237,1878
238,2126
239,2518
240,2401
241,1899
242,1968
243,2421
244,2537
245,2399
246,1994
247,1870
248,2015
249,1861
250,1734
251,2146
252,3114
253,2096
254,1344
255,987
256,624
257,467
258,346
259,235
260,130
261,635
262,1346
263,1451
264,1593
265,1603
266,1734
267,2245
268,3043
269,3472
270,3639
271,3699
272,3687
273,3708
274,3551
275,3637
276,3629
277,3497
278,3303
279,3306
280,3488
281,3655
282,3652
283,3313
284,2811
285,2478
286,2295
287,2177
288,2160
289,2078
290,2161
291,2231
292,2083
293,3023
294,1765
295,1341
296,1569
297,1819
298,1995
299,2103
300,2123
301,2138
302,2026
303,2026
304,1975
305,1975
306,2121
307,2302
308,2759
309,2730
310,2590
311,2395
312,2352
313,2815
314,2582
315,1466
316,1469
317,1591
318,1874
319,1919
320,1935
321,1877
322,1873
323,1851
324,2023
325,2357
326,2492
327,2555
328,2649
329,2932
330,2807
331,2655
332,2585
333,2453
334,3205
335,2190
336,1858
337,1979
338,2247
339,2334
340,2413
341,2455
342,2545
343,2559
344,2559
345,2612
346,2567
347,2343
348,2273
349,2157
350,2224
351,2129
352,2320
353,2945
354,3407
355,3289
356,2160
357,1680
358,1670
359,1753
360,1944
361,1900
362,1963
363,2202
364,2411
365,2603
366,2719
367,2545
368,2446
369,2391
370,2397
371,2548
372,2801
373,2947
374,2822
375,3365
376,2331
377,2305
378,2603
379,2615
380,2619
381,2669
382,3056
383,3414
384,3221
385,2768
386,2605
387,2583
388,2338
389,1849
390,1499
391,1454
392,1648
393,1462
394,987
395,1526
396,1077
397,650
398,477
399,358
400,243
401,186
402,571
403,991
404,1381
405,1680
406,2032
407,2182
408,2329
409,2361
410,2411
411,2902
412,3423
413,3625
414,3696
415,3712
416,3707
417,3653
418,3710
419,3733
420,3739
421,3740
422,3743
423,3743
424,3745
425,3749
426,3747
427,3747
428,3745
429,3698
430,3630
431,3299
432,3031
433,2703
434,2307
435,2083
436,2707
437,2310
438,1053
